FSHBSTCLPN,obstacle_name,BSTCLNM,gazetted_name,GZTTDNM,UTM_ZONE,TMSTNG,TMNRTHNG,utm_zone,utm_easting,utm_northing,last_updated,geometry
23186,Falls,Cascade,BLOEDEL CREEK,STEIN RIVER,10,565911,5562103,10,356567,5494143,2021-02-11,"c(137847.796904466, 5574036.49932477, 0)"
23191,Falls,Cascade,HASLAM CREEK,NA,11,605593,5599152,10,437016,5436722,2021-02-11,"c(605593.00032227, 5599151.99992485, 0)"
23394,Falls,Rock,KOKANEE CREEK,SUNDAY CREEK,10,679077,5460241,11,490361,5495809,2021-02-11,"c(242619.624268428, 5463350.78652919, 0)"
23544,Cascade,Falls,HARDSCRABBLE CREEK,SIDNEY CREEK,10,345773,6076997,9,542105,6062252,2021-02-11,"c(-39149.7261807601, 6106755.409312, 0)"
23625,Culvert,Cascade,NA,SIDNEY CREEK,10,346185,6075571,11,439418,5458932,2021-02-11,"c(-38860.5878644134, 6105294.56206363, 0)"
23633,Culvert,Cascade,STUART CREEK,SIDNEY CREEK,10,346702,6075152,11,316502,5551896,2021-02-11,"c(-38379.8524325112, 6104831.2628708, 0)"
23650,Falls,Falls,IDSARDI CREEK,NA,10,365832,5428333,10,296503,5526625,2021-02-11,"c(-72833.8471064763, 5456351.59971574, 0)"
24775,Cascade,Falls,ARGONAUT CREEK,STEIN RIVER,10,565504,5561490,11,404735,5742270,2021-02-11,"c(137392.09242618, 5573457.32555503, 0)"
24862,Rock,BEAVER DAM,FALLS CREEK,NA,9,609414,5601525,10,400095,5380332,2021-02-11,"c(-239830.651282837, 5652777.86335255, 0)"
20311,Rock,Falls,MOSSOM CREEK,CANOE RIVER,11,320930,5846131,10,510088,5461386,2021-02-11,"c(320930.000486157, 5846131.00005181, 0)"
19686,Falls,Velocity barrier,WEST CHURN CREEK,NA,10,380737,5592133,10,522130,5684554,2021-02-11,"c(-44757.9884407853, 5619022.25208201, 0)"
19737,Culvert,Log jam,NA,MILL STREAM,10,465604,5366751,10,512820,5434582,2021-02-11,"c(22085.5992588571, 5386866.91961661, 0)"
21821,Rock,Cascade,KWINAGEESE RIVER,SIDNEY CREEK,10,346804,6075133,9,509387,6209874,2021-02-11,"c(-38279.5297005516, 6104803.49556763, 0)"
22023,BEAVER DAM,Falls,NA,NA,9,663555,6116379,10,494417,6046503,2021-02-11,"c(-99905.5937182329, 6154053.58968499, 0)"
21542,Rock,BEAVER DAM,MARK CREEK,SIDNEY CREEK,10,347766,6073601,11,571467,5504999,2021-02-11,"c(-37449.7200107421, 6103189.40455173, 0)"
22170,Falls,Cascade,KASTBERG CREEK,FEBRUARY CREEK,9,622176,6242853,9,652650,6203834,2021-02-11,"c(-118906.98182696, 6286340.08759974, 0)"
26094,Persistent debris; present for several years,Falls,NA,KAIPIT CREEK,9,656910,5568040,10,350550,5568423,2021-02-11,"c(-198101.3079874, 5611822.35057197, 0)"
26105,Dam,Falls,NICKEL PLATE CREEK,MOUNTAIN CREEK,8,671960,5908956,11,284949,5475569,2021-02-11,"c(-523894.220647435, 6017474.59880198, 0)"
27451,Falls,Cascade,PALMER CREEK,CEDAR CREEK,11,293641,5464692,11,449111,5726080,2021-02-11,"c(293641.000343619, 5464692.00026753, 0)"
27553,BEAVER DAM,Velocity barrier,FULFORD CREEK,NAGLE CREEK,11,378295,5776534,10,465145,5402715,2021-02-11,"c(378295.000032622, 5776533.99952496, 0)"
27812,Culvert,Culvert,NA,NA,11,345640,5817531,9,605827,6023297,2021-02-11,"c(345640.000432702, 5817531.00012216, 0)"
28408,Culvert,Falls,ELGIN CREEK,NA,9,564404,5798742,10,513499,5434712,2021-02-11,"c(-252027.832733094, 5856065.01512876, 0)"
28817,Falls,Falls,NA,STEIN RIVER,10,565504,5561490,9,451446,6108685,2021-02-11,"c(137392.09242618, 5573457.32555503, 0)"
28818,Falls,Cascade,NA,STEIN RIVER,10,565911,5562103,9,451153,6109362,2021-02-11,"c(137847.796904466, 5574036.49932477, 0)"
29549,Falls,Dam,BEAR CREEK,NA,10,317381,5548786,9,363774,6445121,2021-02-11,"c(-111662.218257021, 5580786.2862442, 0)"
29556,Log jam,Persistent debris; present for several years,TSETA CREEK,NA,10,310199,5541444,9,330399,6533330,2021-02-11,"c(-119444.843822885, 5574017.88031141, 0)"
29557,BEAVER DAM,Cascade,DUDIDONTU RIVER,NA,10,309139,5540682,9,327514,6520458,2021-02-11,"c(-120567.515076998, 5573340.77551706, 0)"
25600,Falls,Falls,NA,KAIPIT CREEK,9,660018,5558010,9,582546,5576612,2021-02-11,"c(-196637.664482369, 5601364.2318785, 0)"
25666,Log jam,Falls,NA,ALLAN CREEK,10,415529,5381358,10,391535,5393373,2021-02-11,"c(-26836.4362587838, 5405419.01342018, 0)"
25712,Falls,Falls,WILLIAMS CREEK,KAIPIT CREEK,9,659489,5562362,10,526235,5636555,2021-02-11,"c(-196459.530781872, 5605769.4396274, 0)"
25736,Cascade,Falls,CREVICE CREEK,TLATLOS CREEK,9,696411,5586196,10,325771,5669394,2021-02-11,"c(-155972.702641456, 5623443.47690258, 0)"
26307,Falls,Dam,WHITE RIVER,MILL STREAM,10,462061,5370510,10,287953,5566892,2021-02-11,"c(18839.4080255974, 5390903.67757419, 0)"
26308,Falls,Falls,HARRIS CREEK,MILL STREAM,10,462061,5370510,9,592243,5564919,2021-02-11,"c(18839.4080255974, 5390903.67757419, 0)"
16167,NA,Falls,NA,NA,9,630600,6103000,NA,NA,NA,NA,"c(-134819.425633877, 6146487.43155723, 0)"
16844,Falls,Falls,COMAPLIX CREEK,NA,11,664109,5474041,11,445298,5622407,2021-02-11,"c(664109.000249534, 5474041.00018882, 0)"
20223,Cascade,Falls,TIMBER CREEK,RENATA CREEK,11,416659,5477017,11,479803,5516871,2021-02-11,"c(416659.000428074, 5477016.99997664, 0)"
20992,Falls,Cascade,CHICKEN CREEK,DRIFTWOOD CREEK,11,530572,5638326,10,494470,6353104,2021-02-11,"c(530572.000217987, 5638325.99951781, 0)"
20994,Falls,Cascade,COAL RIVER,GIRL CREEK,10,517376,5637112,9,617468,6619861,2021-02-11,"c(95461.3712647082, 5652864.73524492, 0)"
22388,Falls,Falls,NA,NA,9,606368,6191303,10,379087,5431057,2021-02-11,"c(-143530.827274609, 6238085.14634284, 0)"
22655,Cascade,BEAVER DAM,KEMANO RIVER,FREEMAN CREEK,11,582371,5431891,9,562964,5968898,2021-02-11,"c(582370.999642687, 5431891.00027541, 0)"
22668,Cascade,BEAVER DAM,NA,DRIFTWOOD CREEK,11,536135,5635817,9,471027,5949128,2021-02-11,"c(536135.000355631, 5635816.99953333, 0)"
22714,Falls,BEAVER DAM,CRAB RIVER,FREEMAN CREEK,11,582833,5434165,9,515918,5935585,2021-02-11,"c(582833.000314429, 5434165.00000094, 0)"
22956,Falls,Falls,DUTI RIVER,AIRPLANE CREEK,10,601277,5438581,9,566248,6310343,2021-02-11,"c(163281.542489464, 5447908.44298093, 0)"
23015,Rock,Falls,NELSON RIVER,MESLILLOET CREEK,10,509450,5492981,9,511073,6063388,2021-02-11,"c(75914.6246796618, 5509538.45551014, 0)"
23086,Falls,Log jam,BELOWE CREEK,ANDERSON RIVER,10,614717,5521481,9,468642,5926561,2021-02-11,"c(183297.482729067, 5529571.77770838, 0)"
23192,Falls,Cascade,SHAW CREEK,AIRPLANE CREEK,10,601839,5442495,10,397641,5425241,2021-02-11,"c(164152.630317556, 5451770.56239313, 0)"
23303,Falls,Falls,NA,AIRPLANE CREEK,10,601870,5442242,9,545805,5840311,2021-02-11,"c(164163.519250119, 5451515.58188762, 0)"
23333,Culvert,Falls,JOE RICH CREEK,MESLILLOET CREEK,10,505856,5493112,11,349417,5523014,2021-02-11,"c(72334.5656378173, 5509956.65594156, 0)"
23417,BEAVER DAM,Log jam,EWIN CREEK,ANDERSON RIVER,10,615448,5521305,11,659954,5547029,2021-02-11,"c(184012.824343831, 5529337.61934473, 0)"
23778,Log jam,Dam,DEVEREUX CREEK,BURNELL LAKE,11,309929,5453816,10,316968,5681758,2021-02-11,"c(309929.000393917, 5453815.99994837, 0)"
23801,Log jam,Log jam,NA,WILLIAMSON CREEK,11,369082,5461744,11,435888,5527715,2021-02-11,"c(369082.000042625, 5461744.00018681, 0)"
24145,Cascade,BEAVER DAM,NA,NA,10,681540,5658678,9,421936,6278386,2021-02-11,"c(261025.697353056, 5661018.93301953, 0)"
24186,Cascade,Rock,VERRETT RIVER,BUGABOO CREEK,11,542162,5635804,9,377615,6288133,2021-02-11,"c(542161.999864484, 5635803.99976339, 0)"
24209,Falls,Rock,SHANNON CREEK,BUGABOO CREEK,11,542529,5635945,11,461862,5547177,2021-02-11,"c(542528.999984514, 5635945.00022054, 0)"
24292,Log jam,BEAVER DAM,ROGERS CREEK,WHITE RIVER,9,494212,6202596,10,371053,5457164,2021-02-11,"c(-252680.677224767, 6268818.58795564, 0)"
24322,Cascade,Falls,NA,NA,9,543964,5874367,9,565600,5599338,2021-02-11,"c(-259643.425768418, 5934582.38689472, 0)"
24741,BEAVER DAM,Canyon,EAST BARRIERE RIVER,MESLILLOET CREEK,10,505856,5493112,11,295162,5681055,2021-02-11,"c(72334.5656378173, 5509956.65594156, 0)"
24746,Falls,Culvert,WHISTLEPIG CREEK,NA,10,583258,6128814,10,573203,5529672,2021-02-11,"c(202422.843987704, 6138049.92906321, 0)"
24438,BEAVER DAM,BEAVER DAM,NA,DRIFTWOOD CREEK,11,532109,5637485,10,473104,5925989,2021-02-11,"c(532109.000460865, 5637485.00037712, 0)"
24581,Dam,Culvert,EQUESIS CREEK,IRONSIDE CREEK,9,560205,6159670,11,327420,5574201,2021-02-11,"c(-194740.205701542, 6214777.05651561, 0)"
24632,Falls,Falls,FIRE CREEK,NILE CREEK,10,381060,5475455,10,553710,5515227,2021-02-11,"c(-53839.518086018, 5502284.10279729, 0)"
24637,Falls,Falls,CLEAR CREEK,EHATISAHT CREEK,9,654052,5527362,10,584496,5499689,2021-02-11,"c(-207502.232839183, 5571900.50237303, 0)"
24876,Dam,Falls,NA,KEEKUYZED CREEK,9,605252,5603421,10,620089,5731863,2021-02-11,"c(-243656.495782709, 5655338.71831143, 0)"
24883,Cascade,Falls,TOKUMM CREEK,KEEKUYZED CREEK,9,605266,5603327,11,551310,5680618,2021-02-11,"c(-243657.890631899, 5655243.05802382, 0)"
24555,Velocity barrier,Cascade,NA,PESIKA CREEK,10,379017,6322131,11,375157,5741675,2021-02-11,"c(15426.4412521726, 6348795.15430806, 0)"
21050,Dam,Rock,FAIRY CREEK,DRIFTWOOD CREEK,11,534308,5636248,11,639174,5488514,2021-02-11,"c(534307.999832438, 5636247.99996855, 0)"
21727,BEAVER DAM,Cascade,DUHAMEL CREEK,NA,10,319948,6118757,11,478873,5502228,2021-02-11,"c(-61363.5562522352, 6150728.90961275, 0)"
20423,BEAVER DAM,Dam,BRIDGE CREEK,NA,10,623216,5762903,10,650351,5711026,2021-02-11,"c(211408.627615076, 5769733.72830816, 0)"
21156,Culvert,Falls,SUPRENANT CREEK,NA,9,527929,5838576,10,601577,6133180,2021-02-11,"c(-281587.279379924, 5901733.14680732, 0)"
21760,Velocity barrier,Falls,NA,KEEKUYZED CREEK,9,605252,5603421,9,482429,6195102,2021-02-11,"c(-243656.495782709, 5655338.71831143, 0)"
21801,Rock,Cascade,NA,KEEKUYZED CREEK,9,605313,5603086,9,440378,6086910,2021-02-11,"c(-243650.432033479, 5654995.99417252, 0)"
19759,Culvert,BEAVER DAM,D'HERBOMEZ CREEK,NA,10,614337,5762918,10,552404,5443214,2021-02-11,"c(202553.31900426, 5770481.63482762, 0)"
19805,Culvert,BEAVER DAM,STURGEON SLOUGH,DRIFTWOOD CREEK,11,529931,5638460,10,526618,5460908,2021-02-11,"c(529931.00049333, 5638460.00008253, 0)"
20524,BEAVER DAM,Cascade,CHRISTENSEN CREEK,LA ROSE CREEK,9,467914,6156562,10,346257,5827180,2021-02-11,"c(-286798.030192657, 6227736.22618203, 0)"
21229,Cascade,Cascade,VALENCIENNES RIVER,NA,9,544457,5874243,11,479889,5740743,2021-02-11,"c(-259174.824724827, 5934376.22576123, 0)"
21282,Cascade,Canyon,SIMPSON RIVER,PESIKA CREEK,10,380755,6322666,11,580536,5645597,2021-02-11,"c(17209.5543414853, 6349176.22560457, 0)"
21303,Cascade,Cascade,KLEKANE RIVER,PESIKA CREEK,10,377584,6319135,9,520926,5901382,2021-02-11,"c(13730.9184671477, 6345929.04861421, 0)"
19961,Dam,Rock,NICOMEKL RIVER,BUGABOO CREEK,11,526562,5632820,10,512752,5435213,2021-02-11,"c(526562.000230288, 5632819.999525, 0)"
19967,Dam,Rock,BULL RIVER,BUGABOO CREEK,11,528725,5634271,11,612896,5481303,2021-02-11,"c(528725.000251133, 5634271.00011491, 0)"
19995,Dam,Rock,NA,BUGABOO CREEK,11,528577,5634450,10,514291,5434684,2021-02-11,"c(528577.000095815, 5634449.99991931, 0)"
20657,Rock,BEAVER DAM,LARDEAU CREEK,NA,10,615593,5762561,11,473992,5612122,2021-02-11,"c(203776.719809518, 5770021.83930335, 0)"
20678,Rock,BEAVER DAM,BURG CREEK,DRIFTWOOD CREEK,11,533177,5636998,11,469655,5604552,2021-02-11,"c(533177.000322115, 5636997.99954261, 0)"
